white,black,result,time,illegal_move,moves,fen,white_elo,black_elo,eval
gpt-3.5-turbo-instruct,stockfish,0,87.37066691299998,No valid suggestions: || Bxd6 exd6,"['d2d4', 'd7d5', 'g1f3', 'c7c5', 'c2c3', 'c5d4', 'f3d4', 'g8f6', 'c1f4', 'h7h5', 'e2e3', 'b8c6', 'd4c6', 'b7c6', 'f1d3', 'g7g6', 'e1g1', 'f8g7', 'f4e5', 'c6c5', 'c3c4', 'c8e6', 'c4d5', 'd8d5', 'b1c3', 'd5e5', 'd1a4', 'e8f8', 'a1d1', 'e5c7', 'd3b5', 'a8c8', 'f2f4', 'c5c4', 'a4a3', 'a7a5', 'h2h3', 'f6e8', 'g2g4', 'c8b8', 'f1f2', 'h5g4', 'h3g4', 'e8d6', 'b5c4', 'e6c4', 'c3d5', 'c7c8']",1rq2k1r/4ppb1/3n2p1/p2N4/2b2PP1/Q3P3/PP3R2/3R2K1 w - - 2 25,1600,1600,"{'type': 'cp', 'value': -1043}"
gpt-3.5-turbo-instruct,stockfish,0.0,110.09498561699999,,"['e2e4', 'e7e6', 'd2d4', 'g8f6', 'e4e5', 'f6e4', 'f2f3', 'e4g5', 'd1d2', 'h7h6', 'f1d3', 'd7d5', 'h2h4', 'g5h7', 'g1h3', 'd8h4', 'e1d1', 'h4d4', 'b1c3', 'd4b4', 'a2a3', 'b4b6', 'a1b1', 'b8c6', 'b2b4', 'c6e5', 'd3h7', 'f8d6', 'h3f4', 'h8h7', 'b1b3', 'f7f6', 'd2e2', 'c8d7', 'f4d5', 'e6d5', 'c3d5', 'b6d4', 'd1e1', 'd4d5', 'b3d3', 'd5g8', 'c1f4', 'a8b8', 'e1d1', 'g7g5', 'f4e5', 'f6e5', 'd3d6', 'c7d6', 'e2d3', 'd7e6', 'd3d6', 'b8c8', 'd6e5', 'g8g6', 'd1e1', 'h7e7', 'e1f1', 'c8c2', 'f1g1', 'c2c1', 'g1h2', 'g6h5', 'h2g3', 'c1h1', 'e5b8', 'e8f7', 'g3f2', 'e6c4', 'g2g4', 'e7e2', 'f2g3', 'h1g1']",1Q6/pp3k2/7p/6pq/1Pb3P1/P4PK1/4r3/6r1 w - - 3 38,1600,1600,
stockfish,gpt-3.5-turbo-instruct,1,69.42632305299999,No valid suggestions: |,"['d2d4', 'g8f6', 'g2g3', 'g7g6', 'a2a4', 'd7d5', 'g1f3', 'f8g7', 'f1g2', 'e8g8', 'f3e5', 'f6d7', 'e5g4', 'b8c6', 'g4h6', 'g8h8', 'g2d5', 'c6d4', 'h6f7', 'f8f7', 'd5f7', 'd7b6', 'a4a5', 'c8h3', 'c1e3', 'h3g2', 'a5b6', 'a7b6', 'a1a8', 'd8a8', 'd1d4', 'a8a5', 'b2b4', 'a5a8', 'd4h4']",q6k/1pp1pBbp/1p4p1/8/1P5Q/4B1P1/2P1PPbP/1N2K2R b K - 2 18,1600,1600,"{'type': 'cp', 'value': 584}"
stockfish,gpt-3.5-turbo-instruct,1,55.742037108000005,No valid suggestions: | |,"['g1f3', 'g8f6', 'g2g3', 'g7g6', 'f1g2', 'f8g7', 'c2c3', 'e8g8', 'a2a4', 'd7d6', 'd2d4', 'b8d7', 'c3c4', 'd6d5', 'b1a3', 'd5c4', 'e1g1', 'd7b6', 'd1c2', 'c7c6', 'a4a5', 'b6d5', 'e2e4', 'd5c7', 'f1e1', 'c8g4', 'f3e5', 'g4e6', 'e1d1', 'f6g4', 'a3c4', 'g4e5', 'd4e5', 'd8c8', 'f2f4', 'c7d5', 'a5a6', 'b7a6', 'e4d5', 'c6d5', 'c4e3']",r1q2rk1/p3ppbp/p3b1p1/3pP3/5P2/4N1P1/1PQ3BP/R1BR2K1 b - - 1 21,1600,1600,"{'type': 'cp', 'value': 425}"
gpt-3.5-turbo-instruct,stockfish,0,79.232644241,No valid suggestions: || ,"['e2e4', 'c7c5', 'g1f3', 'd7d6', 'd2d4', 'd8a5', 'b1d2', 'c5d4', 'f3d4', 'g7g6', 'f1d3', 'f8g7', 'e1g1', 'g7d4', 'd2b3', 'd4f2', 'f1f2', 'a5h5', 'd1h5', 'g6h5', 'd3c4', 'g8f6', 'c1h6', 'b8d7', 'c4d3', 'h8g8', 'f2f5', 'g8g6', 'h6g5', 'a8b8', 'd3e2', 'f6e4', 'g5h4', 'd7e5', 'e2h5', 'g6g7', 'a1e1', 'c8f5', 'h4e7', 'e8e7', 'b3d4', 'f5d7', 'e1e4', 'e7f8', 'b2b3', 'f8g8', 'c2c4', 'b8c8', 'h5d1', 'f7f5', 'e4e3', 'c8f8', 'd4f3', 'e5f7', 'g1f2', 'd7c6', 'f3d4', 'g7g2', 'f2f1', 'c6e4', 'e3e4', 'f5e4', 'f1g2', 'f7e5', 'b3b4', 'e5d3', 'd1b3', 'd3b4', 'c4c5', 'd6d5', 'g2g3', 'f8f6', 'a2a3', 'f6g6', 'g3h3', 'b4c6', 'd4f5', 'g6g5', 'f5e3', 'h7h6', 'b3d5', 'g8h8', 'd5e4', 'c6e7', 'e3g4', 'g5c5', 'h3g3', 'a7a5', 'g4f6', 'c5c3', 'g3g4', 'c3c1', 'f6e8', 'b7b5', 'e8f6', 'a5a4', 'g4f4', 'c1f1', 'f4g4', 'f1e1', 'g4f4', 'e1g1', 'f4f3', 'g1f1', 'f3g4', 'f1f6']",7k/4n3/5r1p/1p6/p3B1K1/P7/7P/8 w - - 0 54,1600,1600,"{'type': 'cp', 'value': -690}"
gpt-3.5-turbo-instruct,stockfish,0,93.652136084,No valid suggestions: |,"['c2c4', 'a7a6', 'd2d4', 'c7c5', 'd4d5', 'd7d6', 'b1c3', 'e7e5', 'e2e4', 'f8e7', 'g1f3', 'g8f6', 'h2h3', 'b8d7', 'f3h2', 'd7b8', 'f2f4', 'e5f4', 'c1f4', 'f6h5', 'd1h5', 'b8d7', 'e1c1', 'a8b8', 'f1e2', 'd7e5', 'f4e5', 'e7g5', 'c1c2', 'd6e5', 'h1f1', 'e8g8', 'c3b5', 'g7g6', 'h5f3', 'a6b5', 'c4b5', 'c8d7', 'h2g4', 'b8a8', 'd1a1', 'f7f6', 'b2b3', 'd8a5', 'a2a4', 'd7g4', 'f3g4', 'a5d2', 'c2b1', 'f6f5', 'e4f5', 'g8g7', 'h3h4', 'g5f4', 'g2g3', 'f4e3', 'g4f3', 'f8f5', 'f3g4', 'f5f1', 'e2f1', 'd2c1']",r7/1p4kp/6p1/1PpPp3/P5QP/1P2b1P1/8/RKq2B2 w - - 1 32,1650,1650,"{'type': 'cp', 'value': -591}"
stockfish,gpt-3.5-turbo-instruct,1,79.94955015099998,No valid suggestions: ||White is already one pawn up,"['e2e4', 'c7c5', 'd2d4', 'c5d4', 'g1f3', 'b8c6', 'c1f4', 'd7d6', 'f3d4', 'e7e5', 'd4c6', 'b7c6', 'f4d2', 'g8f6', 'd1e2', 'f8e7', 'd2c3', 'e8g8', 'c3b4', 'd8b6', 'a2a3', 'c8e6', 'b4c3', 'f6g4', 'h2h3', 'g4f2', 'e2f2', 'b6f2', 'e1f2', 'f7f5', 'f2g3', 'f5e4', 'a3a4', 'd6d5', 'c3e5']",r4rk1/p3b1pp/2p1b3/3pB3/P3p3/6KP/1PP3P1/RN3B1R b - - 0 18,1650,1650,"{'type': 'cp', 'value': -420}"
stockfish,gpt-3.5-turbo-instruct,1,78.64418908000002,No valid suggestions: |,"['d2d4', 'g8f6', 'g1f3', 'e7e6', 'a2a3', 'c7c5', 'd4c5', 'f8c5', 'b2b4', 'c5b6', 'e2e3', 'b8c6', 'b1d2', 'e8g8', 'c2c4', 'd7d5', 'c1b2', 'd5d4', 'd1b3', 'd4e3', 'f2e3', 'f6g4', 'c4c5', 'b6c7', 'f1c4', 'c6e5', 'b3c3', 'd8f6', 'h1f1', 'f8d8', 'f3e5', 'f6h4', 'g2g3', 'h4h2', 'e5g4']",r1br2k1/ppb2ppp/4p3/2P5/1PB3N1/P1Q1P1P1/1B1N3q/R3KR2 b Q - 0 18,1650,1650,"{'type': 'cp', 'value': 604}"
gpt-3.5-turbo-instruct,stockfish,0,74.204605818,"No valid suggestions: || Bh7 Rg7
","['e2e4', 'e7e5', 'g1f3', 'b8c6', 'f1b5', 'c6d4', 'f3d4', 'e5d4', 'e1g1', 'a7a6', 'b5c4', 'c7c6', 'c2c3', 'b7b5', 'c4b3', 'd7d5', 'e4e5', 'd4d3', 'f2f4', 'f8c5', 'g1h1', 'g8h6', 'h2h3', 'c5b6', 'g2g4', 'f7f5', 'g4g5', 'h8g8', 'g5h6', 'd8h4', 'd1f3', 'g7h6', 'h1h2', 'h6h5', 'f3d3', 'b6f2']",r1b1k1r1/7p/p1p5/1p1pPp1p/5P1q/1BPQ3P/PP1P1b1K/RNB2R2 w q - 1 19,1650,1650,"{'type': 'cp', 'value': -817}"
stockfish,gpt-3.5-turbo-instruct,1,52.913010969,No valid suggestions: |,"['e2e3', 'e7e5', 'd2d4', 'b8c6', 'g1e2', 'd7d5', 'd4e5', 'c6e5', 'c1d2', 'g8f6', 'b2b3', 'f6e4', 'e2f4', 'f8b4', 'd2b4', 'd8h4', 'd1d5']",r1b1k2r/ppp2ppp/8/3Qn3/1B2nN1q/1P2P3/P1P2PPP/RN2KB1R b KQkq - 0 9,1650,1650,"{'type': 'cp', 'value': 293}"
